sku,design_family,design_name,status,matched_tags,approved_tags
"AFGFFA0019","AFFA0019","Harvest Blessings",updated,"Wine-Drinks","Apples | Blessings | Fall | Fall-Leaves | Seasons-Greetings | Wine-Drinks"
"AFHFFA0019","AFFA0019","Harvest Blessings",updated,"Wine-Drinks","Apples | Blessings | Fall | Fall-Leaves | Seasons-Greetings | Wine-Drinks"
"AFGFFA0025","AFFA0025","Fall Night Harvest",updated,"Wine-Drinks","Apples | Candles | Fall | Fall-Leaves | Fall-Pumpkins | Flowers | Trees | Wine-Drinks"
"AFHFFA0025","AFFA0025","Fall Night Harvest",updated,"Wine-Drinks","Apples | Candles | Fall | Fall-Leaves | Fall-Pumpkins | Flowers | Trees | Wine-Drinks"
"AFGFFA0039","AFFA0039","Mother Earth's Many Blessings",updated,"Wine-Drinks","Apples | Blessings | Flowers | Fruits | Grapes | Sunflowers | Thanksgiving | Thanksgiving-Pumpkins | Wine-Drinks"
"AFHFFA0039","AFFA0039","Mother Earth's Many Blessings",updated,"Wine-Drinks","Apples | Blessings | Flowers | Fruits | Grapes | Sunflowers | Thanksgiving | Thanksgiving-Pumpkins | Wine-Drinks"
"AFGFFA0193","AFFA0193","Always Thankful-Basket Weave",updated,"Wine-Drinks","Apples | Cornucopia | Give-Thanks | Thanksgiving | Thanksgiving-Pumpkins | Wine-Drinks"
"AFHFFA0193","AFFA0193","Always Thankful-Basket Weave",updated,"Wine-Drinks","Apples | Cornucopia | Give-Thanks | Thanksgiving | Thanksgiving-Pumpkins | Wine-Drinks"
"AFGFFA0234","AFFA0234","Wicker Basket Of Apples",updated,"Wine-Drinks","Apples | Fall | Fall-Leaves | Wine-Drinks"
"AFHFFA0234","AFFA0234","Wicker Basket Of Apples",updated,"Wine-Drinks","Apples | Fall | Fall-Leaves | Wine-Drinks"
"AFGFFA0250","AFFA0250","Fall Bountiful Basket",updated,"Wine-Drinks","Apples | Fall | Fall-Leaves | Wine-Drinks"
"AFHFFA0250","AFFA0250","Fall Bountiful Basket",updated,"Wine-Drinks","Apples | Fall | Fall-Leaves | Wine-Drinks"
"AFGFFA0320","AFFA0320","Hello September Colors",updated,"Wine-Drinks","Apples | Fall | Fall-Leaves | Wine-Drinks"
"AFHFFA0320","AFFA0320","Hello September Colors",updated,"Wine-Drinks","Apples | Fall | Fall-Leaves | Wine-Drinks"
"afgfsp-b-0003","afgfsp-b-0003","America Forever St Patrick's Truck Gnomes Burlap Garden Flag",updated,"Party-Time","Balloons | Country-Living | Garden-Gnomes | Gardens | Happy-St-Patricks | Party-Time | Seasonal | Shamrock-Clovers | St-Patricks-Day | Truck"
"afgfwr-b-0005","afgfwr-b-0005","Happy New Year Sunflower Champagne Celebration Burlap Garden Flag",updated,"Wine-Drinks","Flowers | Food-Wine | Happy-New-Year | New-Year | Seasonal | Summer-Fall-Flowers | Sunflowers | Wine-Drinks"
"AFGFMS0213","AFMS0213","Happy Birthday Surprise",updated,"Party-Time","Balloons | Birthday | Family-Friends | Party-Time"
"AFHFMS0213","AFMS0213","Happy Birthday Surprise",updated,"Party-Time","Balloons | Birthday | Family-Friends | Party-Time"
"AFGFMS0297","AFMS0297","Do Everything In Love",updated,"Party-Time","Balloons | Bible-Scriptures | Hearts | Party-Time | Religious | Seasonal | Valentines-Day"
