country_code,country_name,orders,channel_breakdown
DE,"Germany",25,"FP:18 | CA:4 | FL:3"
FR,"France",16,"FP:12 | CA:3 | FBA:1"
SE,"Sweden",11,"FP:6 | FBA:3 | FL:1 | CA:1"
NL,"Netherlands",10,"FP:7 | WLS:2 | CA:1"
LV,"Latvia",8,"FP:7 | CA:1"
IT,"Italy",7,"FP:5 | CA:2"
GR,"Greece",6,"FP:6"
EE,"Estonia",6,"FP:6"
RO,"Romania",5,"FP:5"
ES,"Spain",5,"FP:4 | CA:1"
DK,"Denmark",4,"FP:2 | CA:2"
AT,"Austria",4,"FP:3 | CA:1"
PL,"Poland",3,"FP:2 | CA:1"
CZ,"Czech Republic",3,"CA:1 | FP:1 | FBA:1"
HU,"Hungary",3,"FP:3"
IE,"Ireland",3,"CA:2 | FBA:1"
HR,"Croatia",2,"FP:2"
BE,"Belgium",2,"CA:1 | FP:1"
SK,"Slovakia",2,"FP:1 | CA:1"
CY,"Cyprus",2,"FP:2"
BG,"Bulgaria",1,"FP:1"
