sku,design_family,design_name,manufacturer,status
AFGFFA0001Q,AFFA0001,"Apples & Pears","AF",updated
AFHFFA0001Q,AFFA0001,"Apples & Pears","AF",updated
AFGFFA0002Q,AFFA0002,"Crazy Bat Party","AF",updated
AFHFFA0002Q,AFFA0002,"Crazy Bat Party","AF",updated
AFGFFA0003Q,AFFA0003,"American Country Sunrise","AF",updated
AFHFFA0003Q,AFFA0003,"American Country Sunrise","AF",updated
AFGFFA0149Q,AFFA0149,"Pumpkins & Leaves - Monogram A","AF",flagged
AFHFFA0149Q,AFFA0149,"Pumpkins & Leaves - Monogram A","AF",flagged
AFGFFA0150Q,AFFA0150,"Autumn Sunflowers - Monogram A","AF",updated
AFHFFA0150Q,AFFA0150,"Autumn Sunflowers - Monogram A","AF",updated
AFGFMS0073Q,AFMS0073,"Sage Floral - Monogram A","AF",updated
AFHFMS0073Q,AFMS0073,"Sage Floral - Monogram A","AF",updated
AFGFMS0074Q,AFMS0074,"Country Sunflowers - Monogram A","AF",updated
AFHFMS0074Q,AFMS0074,"Country Sunflowers - Monogram A","AF",updated
AFGFMS0075Q,AFMS0075,"Blue Striped Watercolor - Monogram A","AF",updated
AFHFMS0075Q,AFMS0075,"Blue Striped Watercolor - Monogram A","AF",updated
AFGFMS0076Q,AFMS0076,"Fancy Rose - Monogram A","AF",updated
AFHFMS0076Q,AFMS0076,"Fancy Rose - Monogram A","AF",updated
AFGFMS0077Q,AFMS0077,"Hummingbird At Lily - Monogram A","AF",updated
AFHFMS0077Q,AFMS0077,"Hummingbird At Lily - Monogram A","AF",updated
AFGFMS0078Q,AFMS0078,"Spring Beauties - Monogram A","AF",updated
AFHFMS0078Q,AFMS0078,"Spring Beauties - Monogram A","AF",updated
AFGFMS0079Q,AFMS0079,"Old Fashion Flowers - Monogram A","AF",updated
AFHFMS0079Q,AFMS0079,"Old Fashion Flowers - Monogram A","AF",updated
AFGFMS0080Q,AFMS0080,"Pink And Black Plaid - Monogram A","AF",updated
AFHFMS0080Q,AFMS0080,"Pink And Black Plaid - Monogram A","AF",updated
AFGFMS0081Q,AFMS0081,"Island Flowers - Monogram A","AF",updated
AFHFMS0081Q,AFMS0081,"Island Flowers - Monogram A","AF",updated
AFGFMS0082Q,AFMS0082,"Tropical Bird - Monogram A","AF",updated
AFHFMS0082Q,AFMS0082,"Tropical Bird - Monogram A","AF",updated
AFGFMS0083Q,AFMS0083,"Loves Me, Loves Me Not - Monogram A","AF",updated
AFHFMS0083Q,AFMS0083,"Loves Me, Loves Me Not - Monogram A","AF",updated
AFGFMS0084Q,AFMS0084,"Elegant Red And Black Plaid - Monogram A","AF",updated
AFHFMS0084Q,AFMS0084,"Elegant Red And Black Plaid - Monogram A","AF",updated
